FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,15.526,6.232,0.854,2.891,,3.743,3.271,3.575,4.027,3.571,3.376,3.69,3.728,3.617,3.284,0.0
p232_002.wav,2.715,,11.341,5.865,0.954,3.465,4.21,3.67,3.236,3.642,3.813,3.562,3.45,3.684,3.848,3.755,3.289,0.0
p232_003.wav,7.185,,6.724,-0.26,0.933,2.967,4.14,3.802,3.045,3.471,3.755,3.265,3.433,3.461,4.479,3.249,3.01,0.05
p232_005.wav,6.247,,2.545,-2.233,0.803,1.611,2.51,3.814,2.879,3.509,3.362,3.099,3.161,3.35,3.891,2.512,2.228,0.0
p232_006.wav,5.104,,17.332,11.087,0.905,2.496,3.39,3.994,3.194,3.539,3.911,3.639,3.484,3.653,3.995,3.356,3.082,0.059
p232_007.wav,3.956,,13.557,6.876,0.911,2.285,3.11,3.881,2.933,3.585,3.306,4.185,3.941,4.391,4.583,3.402,2.901,0.0
p232_009.wav,4.158,,6.86,1.821,0.896,2.107,3.2,3.649,2.979,3.433,3.647,3.496,3.732,3.498,4.275,2.649,2.469,0.0
p232_010.wav,2.764,,3.129,-6.731,0.598,1.444,2.2,3.253,2.47,3.43,2.622,3.311,3.616,3.635,3.76,2.614,2.249,0.125
p232_011.wav,6.538,,17.173,10.431,0.931,2.948,3.85,4.061,3.226,3.607,3.823,4.01,3.746,4.578,4.632,3.524,3.191,0.0
p232_012.wav,4.336,,12.966,6.968,0.923,2.344,3.21,3.676,3.166,3.592,3.749,3.812,3.585,3.647,4.112,3.508,3.16,0.0
p232_013.wav,3.943,,7.907,0.904,0.908,1.883,2.81,3.552,3.128,3.615,3.642,3.523,3.119,3.64,3.97,2.846,2.363,0.0
p232_014.wav,4.617,,3.569,-1.43,0.829,1.563,2.01,3.369,3.054,3.644,3.493,2.847,3.466,3.985,4.255,2.431,2.033,0.0
p232_015.wav,5.32,,16.985,12.671,0.985,3.567,4.21,3.917,3.414,3.665,4.105,4.174,3.813,4.031,4.312,3.828,3.502,0.0
p232_016.wav,5.569,,11.998,8.008,0.977,3.355,4.11,4.062,3.271,3.635,3.925,3.698,3.613,3.71,4.485,3.681,3.211,0.0
p232_017.wav,2.889,,6.426,0.161,0.978,2.767,3.87,3.388,3.097,3.467,3.893,3.627,3.254,3.928,4.62,2.997,2.449,0.25
p232_019.wav,6.736,,2.014,-2.372,0.942,2.297,3.12,3.527,3.199,3.654,3.76,3.37,3.122,3.962,4.05,2.733,2.389,0.105
p232_020.wav,3.617,,17.606,10.488,0.905,2.872,4.05,3.764,3.24,3.609,3.882,3.517,4.111,4.015,4.852,3.324,2.964,0.0
p232_021.wav,8.51,,12.018,8.204,0.943,2.812,3.53,3.985,3.091,3.598,3.55,4.063,3.385,4.429,4.528,3.435,3.094,0.0
p232_022.wav,5.794,,7.792,3.582,0.924,2.006,2.99,3.55,2.955,3.651,3.312,3.694,3.616,3.872,4.189,3.343,2.464,0.056
p232_023.wav,9.769,,2.149,-4.134,0.845,1.433,2.58,3.213,2.779,3.633,2.964,3.931,2.908,3.756,4.034,2.65,2.294,0.111
p232_024.wav,5.52,,17.177,13.618,0.982,3.862,4.43,3.95,3.302,3.653,3.911,4.398,4.803,4.431,4.627,4.483,4.165,0.0
p232_025.wav,1.876,,10.769,0.317,0.933,2.837,,3.752,3.208,3.582,3.908,4.364,3.411,3.198,3.555,3.579,2.933,0.0
p232_027.wav,3.771,,6.788,1.727,0.974,3.051,3.99,3.848,3.176,3.623,3.784,3.537,3.473,3.578,4.357,3.216,2.936,0.0
p232_028.wav,2.065,,0.471,-12.206,0.706,1.897,,3.31,2.722,3.446,3.219,3.81,2.876,3.554,3.253,3.255,2.862,0.0
p232_029.wav,3.415,,18.146,8.415,0.921,2.358,3.16,3.911,3.183,3.59,3.828,3.686,3.963,4.458,4.617,3.469,2.929,0.0
p232_030.wav,3.849,,11.934,7.15,0.97,2.472,3.67,3.728,3.096,3.57,3.672,4.139,3.756,3.39,3.947,2.899,2.678,0.167
p232_031.wav,2.29,,5.699,-2.934,0.716,1.781,3.01,3.422,3.027,3.558,3.568,4.443,4.099,3.902,3.882,3.379,3.145,0.0
p232_032.wav,3.49,,3.766,-1.865,0.673,1.276,1.88,3.042,2.6,3.564,2.814,3.475,3.198,3.741,3.898,3.031,2.127,0.091
p232_033.wav,1.448,,15.581,3.321,0.78,2.6,,3.206,2.795,3.431,3.338,3.282,4.501,3.746,4.182,3.359,2.904,0.0
p232_034.wav,1.472,,11.743,2.09,0.769,2.006,,3.36,2.885,3.509,3.434,3.546,4.283,3.565,4.119,3.86,3.404,0.0
p232_035.wav,3.158,,7.82,1.775,0.912,1.946,2.86,3.303,2.972,3.694,3.232,3.549,3.358,3.735,4.117,2.978,2.397,0.077
p232_036.wav,2.843,,3.087,-4.076,0.763,1.463,2.47,3.336,2.821,3.477,3.325,3.277,3.891,3.645,3.118,2.595,2.4,0.0
p232_037.wav,3.856,,16.563,11.632,0.996,3.553,4.53,3.795,3.379,3.62,4.127,4.559,3.589,4.066,4.658,3.399,3.159,0.0
p232_038.wav,2.09,,10.958,1.749,0.902,2.762,,3.754,3.123,3.506,3.893,4.106,3.581,3.49,3.469,3.583,3.188,0.0
p232_039.wav,1.94,,4.371,-6.592,0.621,2.143,,3.12,2.716,3.291,3.526,3.766,2.838,3.405,3.821,3.401,3.187,0.0
p232_040.wav,1.898,,0.4,-7.402,0.981,2.5,,3.169,2.97,3.535,3.486,3.013,2.5,3.956,3.679,2.926,2.409,0.0
p232_041.wav,2.007,,17.373,7.513,0.834,2.371,,3.299,3.172,3.536,3.857,3.689,3.999,4.178,3.743,3.668,3.429,0.0
p232_042.wav,2.514,,11.316,4.683,0.985,3.342,4.14,4.107,3.206,3.568,3.958,3.777,3.802,3.894,4.436,3.711,3.295,0.0
p232_043.wav,1.96,,9.333,-1.229,0.739,1.747,,2.924,3.254,3.596,3.963,3.519,3.47,3.585,4.342,2.861,2.474,0.0
p232_044.wav,1.383,,0.428,-8.802,0.73,1.222,,3.261,2.197,3.089,2.614,2.759,2.877,3.101,4.438,1.995,1.743,0.0
p232_045.wav,1.238,,14.376,3.304,0.893,3.708,,3.262,3.045,3.348,4.001,3.602,3.563,3.341,4.098,3.359,2.91,0.0
p232_046.wav,1.416,,10.326,-1.566,0.773,2.038,,3.085,2.724,3.216,3.532,3.679,3.412,3.89,3.764,3.186,2.697,0.0
p232_047.wav,1.926,,5.925,-4.709,0.838,2.619,,3.096,2.966,3.529,3.525,3.501,3.97,3.346,4.137,3.36,2.897,0.0
p232_048.wav,1.82,,-0.471,-13.466,0.627,2.067,,3.479,2.768,3.58,3.103,3.87,3.101,3.591,3.768,2.995,2.532,0.0
p232_049.wav,2.941,,16.543,12.034,0.961,2.854,3.63,3.84,3.295,3.655,3.858,3.55,3.914,3.529,4.531,3.169,3.147,0.0
p232_050.wav,1.733,,11.056,1.989,0.811,1.941,,3.006,2.769,3.335,3.423,4.122,3.81,3.599,4.437,3.825,3.105,0.0
p232_051.wav,1.476,,6.263,-6.384,0.761,1.576,,3.146,2.56,3.527,2.69,4.174,2.811,3.788,3.43,3.013,2.619,0.5
p232_052.wav,2.199,,4.618,-4.865,0.623,1.315,,3.064,2.524,3.481,2.702,2.986,3.657,3.167,4.202,3.033,2.085,0.571
p232_053.wav,1.644,,15.79,5.725,0.888,2.583,,3.754,2.956,3.332,3.798,4.431,3.075,3.569,3.937,3.511,3.1,0.0
p232_054.wav,3.706,,12.21,5.096,0.958,2.604,3.31,3.657,3.069,3.639,3.539,3.244,3.597,3.947,4.482,3.495,2.896,0.091
p232_055.wav,1.526,,6.637,-3.627,0.744,2.036,,3.306,2.953,3.432,3.679,2.749,3.186,3.891,4.13,2.791,2.001,0.0
p232_056.wav,1.803,,2.314,-8.003,0.704,1.596,,2.738,2.583,3.351,2.965,3.398,3.451,2.88,3.652,2.586,2.183,0.0
p232_057.wav,2.236,,16.084,7.613,0.919,2.891,4.15,3.576,3.075,3.363,4.039,3.804,3.998,3.693,4.598,2.945,2.792,0.0
p232_058.wav,3.899,,11.72,7.817,0.952,3.417,4.07,4.038,3.149,3.536,3.831,4.403,4.091,3.485,4.051,4.102,3.885,0.0
p232_059.wav,1.32,,4.697,-6.868,0.686,2.211,,3.133,3.046,3.419,3.968,3.312,3.173,3.176,3.642,2.868,2.713,0.0
p232_060.wav,2.34,,0.104,-10.91,0.736,2.224,2.65,2.979,2.7,3.24,3.467,2.667,3.095,3.102,3.585,2.561,2.23,0.0
p232_061.wav,3.249,,16.828,9.657,0.967,3.139,3.54,3.901,3.199,3.562,3.856,3.947,3.824,3.596,4.379,3.836,3.378,0.111
p232_062.wav,2.964,,11.793,4.272,0.932,2.278,3.38,3.503,3.108,3.564,3.674,3.769,4.052,3.363,3.826,3.421,2.806,0.111
p232_063.wav,2.264,,5.907,-3.588,0.913,2.164,3.65,3.257,2.988,3.568,3.476,3.078,3.439,3.573,3.615,2.646,2.124,0.2
p232_064.wav,2.01,,1.38,-10.206,0.823,1.673,,3.055,2.486,3.23,2.994,3.2,3.109,2.995,2.949,3.267,2.95,0.0
p232_065.wav,1.524,,19.515,7.473,0.881,2.901,,3.391,2.932,3.184,4.073,3.652,4.323,3.976,4.499,3.636,3.302,0.0
p232_066.wav,3.277,,12.104,6.198,0.949,3.165,4.24,3.774,2.855,3.32,3.599,3.884,4.212,3.642,4.264,3.67,3.188,0.0
p232_067.wav,2.617,,6.754,-0.709,0.922,2.957,3.52,3.583,3.041,3.421,3.84,3.718,4.138,3.659,4.548,3.832,3.161,0.0
p232_068.wav,2.522,,1.997,-2.46,0.917,2.63,3.37,3.679,2.899,3.493,3.377,3.251,4.202,4.141,4.313,3.124,2.548,0.0
p232_069.wav,2.669,,16.717,9.476,0.959,2.785,3.59,3.827,3.091,3.587,3.627,4.093,3.604,4.006,4.19,3.528,3.189,0.143
p232_070.wav,2.544,,11.586,4.613,0.865,2.553,3.12,3.542,2.951,3.471,3.528,4.122,3.38,4.148,4.093,3.203,3.008,0.125
p232_071.wav,2.589,,7.155,0.062,0.72,1.716,2.86,3.098,3.082,3.635,3.49,4.026,3.874,4.14,4.454,3.501,2.862,0.143
p232_072.wav,1.987,,1.879,-5.922,0.669,1.394,,3.156,2.776,3.266,3.553,3.461,3.534,3.694,3.612,2.834,2.059,0.0
p232_073.wav,1.908,,16.488,3.687,0.974,2.553,,3.745,3.202,3.524,3.954,4.541,3.545,3.366,3.819,3.935,3.747,0.0
p232_074.wav,2.21,,12.362,1.906,0.809,2.271,2.64,3.055,3.079,3.53,3.722,4.012,3.768,3.52,3.775,3.191,2.306,0.0
p232_075.wav,2.346,,7.057,-2.713,0.881,1.778,2.72,3.489,3.07,3.614,3.551,3.651,3.226,3.537,3.748,3.351,2.61,0.4
p232_076.wav,1.927,,2.153,-7.136,0.682,1.552,,3.034,2.96,3.597,3.444,3.984,2.966,3.682,3.947,3.431,3.028,0.0
p232_077.wav,1.742,,15.217,5.147,0.861,2.926,,3.504,3.017,3.327,3.967,3.638,4.059,3.68,4.007,3.679,3.337,0.0
p232_078.wav,2.261,,11.049,3.497,0.99,3.303,4.24,3.704,3.146,3.521,3.92,4.49,3.799,3.337,4.56,3.898,3.703,0.0
p232_079.wav,2.394,,5.835,-1.371,0.886,2.686,3.27,3.652,3.012,3.5,3.674,4.304,4.503,4.003,4.248,3.543,2.997,0.0
p232_080.wav,2.08,,-0.794,-12.693,0.762,1.641,,2.668,2.547,3.218,3.213,3.133,3.144,3.585,4.034,3.074,2.333,0.0
p232_081.wav,1.885,,16.552,9.14,0.872,2.586,,3.667,2.983,3.451,3.678,3.546,3.727,3.259,4.431,3.504,3.017,0.4
p232_082.wav,1.559,,12.243,0.278,0.701,1.903,,3.022,2.615,3.507,2.956,2.824,3.635,3.687,4.169,2.99,2.297,0.0
p232_083.wav,1.661,,5.938,-2.38,0.865,2.329,,3.235,2.915,3.579,3.301,3.267,3.051,3.06,4.482,3.437,2.525,0.0
p232_084.wav,1.391,,-0.201,-9.576,0.715,1.258,,3.092,2.684,3.378,3.219,3.077,3.975,3.534,4.338,3.012,2.48,0.25
p232_085.wav,2.067,,15.998,7.24,0.982,3.741,,3.634,3.089,3.413,3.941,3.995,3.432,3.777,4.085,3.777,3.373,0.0
p232_086.wav,1.968,,11.501,4.591,0.942,3.222,,3.88,3.269,3.539,4.095,4.196,4.054,3.862,4.075,3.815,3.129,0.0
p232_087.wav,1.978,,5.72,-2.785,0.88,3.214,,3.768,3.22,3.626,3.897,4.119,3.722,4.211,3.521,3.813,3.132,0.0
p232_088.wav,2.924,,1.562,-4.591,0.866,2.417,3.69,3.732,2.831,3.464,3.378,3.977,4.442,3.245,4.21,3.493,3.249,0.0
p232_089.wav,2.234,,17.811,9.144,0.872,2.424,3.49,3.611,3.19,3.588,3.822,3.288,4.096,3.391,4.366,3.503,3.165,0.0
p232_090.wav,3.943,,11.655,4.64,0.92,2.246,3.42,3.677,3.12,3.552,3.745,4.134,3.661,4.03,4.892,2.977,3.015,0.0
p232_091.wav,1.563,,6.075,-3.57,0.81,1.851,,2.922,2.689,3.486,3.035,3.814,4.682,3.881,4.497,3.36,2.208,0.0
p232_092.wav,1.968,,0.96,-8.768,0.734,1.89,,3.207,2.714,3.464,3.066,2.851,4.042,3.794,4.386,2.932,2.126,0.0
p232_093.wav,2.221,,17.378,8.948,0.878,2.83,4.2,3.696,3.211,3.598,3.877,4.249,4.073,4.015,4.068,3.354,3.023,0.0
p232_094.wav,2.816,,12.169,3.802,0.885,2.287,3.09,3.599,3.005,3.511,3.624,3.362,3.342,3.89,4.213,3.492,2.921,0.0
p232_095.wav,3.574,,8.091,2.116,0.721,1.165,1.73,2.737,2.681,3.646,2.81,3.475,3.87,3.169,3.9,2.793,1.969,0.083
p232_096.wav,1.678,,2.847,-7.536,0.614,1.291,,2.859,2.537,3.271,3.044,3.913,3.481,3.813,3.754,3.003,2.579,0.0
p232_097.wav,2.705,,16.639,9.409,0.961,2.756,3.89,3.835,3.368,3.68,4.001,3.999,4.103,3.432,4.278,3.631,3.289,0.0
p232_098.wav,2.385,,11.105,2.772,0.887,2.196,2.68,3.437,3.359,3.654,4.05,4.164,2.977,3.476,4.074,3.525,2.838,0.0
p232_099.wav,2.765,,6.325,0.013,0.973,3.041,3.67,3.688,3.016,3.522,3.579,3.457,3.941,3.696,4.546,3.661,3.317,0.0
p232_100.wav,1.6,,0.287,-9.455,0.77,2.115,,2.857,2.492,3.191,3.1,2.762,3.415,2.919,3.983,2.919,2.195,0.333
p232_101.wav,1.946,,16.032,5.396,0.949,2.875,,3.601,3.16,3.588,3.787,4.227,4.085,3.467,4.209,3.684,2.941,0.0
p232_102.wav,1.894,,10.753,2.226,0.828,2.55,,3.508,3.044,3.37,3.963,4.22,3.101,3.542,4.309,3.432,3.183,0.0
p232_103.wav,3.547,,7.497,1.046,0.897,2.089,2.95,3.484,2.885,3.475,3.422,3.483,3.562,3.885,3.87,3.138,2.561,0.0
p232_104.wav,3.92,,1.308,-6.837,0.795,1.46,2.3,3.199,2.574,3.47,2.808,3.117,3.044,3.662,3.619,2.424,1.88,0.0
p232_105.wav,1.757,,16.4,9.039,0.929,3.333,,3.58,3.286,3.537,4.127,3.587,4.438,3.621,4.279,3.541,3.296,0.0
p232_106.wav,2.388,,11.478,5.13,0.964,3.567,4.58,3.786,3.141,3.603,3.807,3.546,4.148,3.277,4.163,3.347,3.226,0.0
p232_107.wav,2.642,,6.77,-0.61,0.935,3.254,4.23,3.579,3.167,3.604,3.77,3.497,3.735,3.833,4.439,3.138,2.789,0.0
p232_108.wav,1.682,,0.579,-12.052,0.807,2.104,,3.0,2.933,3.574,3.442,3.129,2.867,2.967,4.379,2.609,2.228,0.0
p232_109.wav,3.492,,16.719,10.243,0.938,2.651,3.93,3.91,3.365,3.631,4.077,3.947,4.336,3.858,4.466,3.407,3.175,0.0
p232_110.wav,2.035,,13.089,3.047,0.796,1.616,,2.822,2.302,3.576,2.147,3.388,4.129,3.801,4.094,3.477,2.679,0.0
p232_112.wav,1.644,,5.608,-2.655,0.81,2.252,,3.337,2.628,3.269,3.323,3.23,3.958,3.546,4.395,3.366,2.788,0.2
p232_113.wav,1.368,,3.78,-6.537,0.553,1.762,,3.301,2.833,3.376,3.49,4.111,4.233,3.839,4.603,3.636,2.651,0.25
p232_114.wav,3.196,,17.27,10.01,0.928,2.299,3.44,3.326,3.114,3.592,3.637,3.303,4.178,3.864,4.424,3.399,3.124,0.083
p232_115.wav,2.745,,11.981,4.466,0.897,2.518,3.2,3.493,2.813,3.439,3.439,3.326,3.878,3.649,4.271,3.571,3.196,0.0
p232_116.wav,1.983,,7.375,-2.8,0.8,1.81,,3.279,2.915,3.427,3.572,3.124,3.401,3.209,3.982,2.486,1.879,0.0
p232_117.wav,3.473,,2.287,-4.246,0.762,1.316,2.46,3.41,2.692,3.486,3.063,2.879,2.915,3.431,3.707,2.828,2.122,0.083
p232_118.wav,3.134,,16.347,8.566,0.964,3.186,4.37,3.796,3.381,3.639,4.115,4.216,3.461,4.315,4.554,3.823,3.459,0.0
p232_119.wav,3.168,,11.276,4.024,0.901,2.772,4.33,3.833,3.132,3.474,3.925,3.42,3.323,3.76,4.628,3.238,2.664,0.0
p232_120.wav,1.463,,4.891,-4.382,0.799,2.673,,3.523,2.831,3.321,3.623,3.92,3.337,3.507,3.711,3.494,3.009,0.0
p232_121.wav,3.065,,1.69,-1.854,0.917,1.438,3.45,3.55,2.94,3.587,3.296,3.011,3.541,3.222,3.76,2.76,2.451,0.091
p232_123.wav,3.707,,16.966,9.824,0.949,3.09,3.59,3.831,3.254,3.568,3.986,3.791,3.446,3.932,4.753,3.373,3.241,0.0
p232_124.wav,1.491,,10.32,-0.084,0.804,2.483,,3.375,2.917,3.533,3.387,4.205,3.561,3.467,3.607,3.151,2.727,0.0
p232_125.wav,1.608,,5.525,-4.864,0.699,2.054,,3.071,2.921,3.549,3.445,3.263,2.817,2.937,3.368,2.921,2.799,0.0
p232_126.wav,2.114,,2.79,-5.665,0.781,1.714,,3.022,2.675,3.513,3.022,3.657,3.641,3.279,3.515,3.489,2.497,0.0
p232_127.wav,1.974,,15.736,5.84,0.981,3.727,,3.558,2.865,3.184,3.914,3.836,3.427,3.77,3.732,3.299,2.952,0.0
p232_128.wav,2.962,,11.868,1.865,0.953,2.356,3.57,3.384,2.893,3.382,3.644,4.044,3.398,3.764,4.397,3.285,3.011,0.0
p232_129.wav,3.562,,6.629,3.77,0.948,3.033,3.91,3.769,3.161,3.522,3.878,3.986,3.52,3.398,4.415,3.599,3.204,0.091
p232_130.wav,2.465,,1.624,-7.75,0.908,2.082,2.97,3.415,2.979,3.603,3.409,4.287,3.202,3.492,3.201,3.135,2.491,0.5
p232_131.wav,3.054,,16.758,8.941,0.954,2.714,3.69,3.789,3.164,3.554,3.853,3.403,3.937,3.665,3.956,3.04,2.871,0.0
p232_132.wav,1.853,,11.192,2.388,0.752,2.364,,2.878,2.819,3.576,3.198,3.786,3.437,4.299,4.511,3.327,2.692,0.0
p232_133.wav,2.44,,7.716,-0.003,0.75,1.621,2.65,3.261,2.912,3.588,3.306,3.735,4.006,3.801,4.191,3.422,2.869,0.0
p232_134.wav,1.804,,2.314,-9.208,0.647,1.311,,3.357,2.558,3.177,3.29,3.518,3.105,3.397,4.131,2.828,2.6,0.4
p232_135.wav,1.984,,16.483,5.834,0.877,2.602,,3.946,3.147,3.45,3.996,4.54,3.702,2.971,3.97,3.784,3.412,0.0
p232_136.wav,1.738,,12.785,-0.057,0.668,1.762,,3.756,3.025,3.424,3.773,3.944,3.312,3.292,3.758,3.416,3.264,0.0
p232_137.wav,1.619,,6.177,-4.703,0.819,2.295,,3.219,2.922,3.4,3.649,3.375,3.207,3.836,4.227,2.999,2.824,0.0
p232_138.wav,1.574,,0.422,-8.342,0.597,1.849,,2.598,2.459,3.439,2.607,2.706,3.405,3.467,4.399,2.695,2.025,0.0
p232_139.wav,2.186,,16.027,9.161,0.999,3.384,,3.825,3.258,3.518,4.095,4.352,4.743,4.068,4.467,3.605,3.254,0.0
p232_140.wav,1.586,,10.253,0.891,0.782,2.777,,3.711,2.553,3.172,3.237,3.2,4.005,3.502,3.583,3.22,2.953,0.0
p232_141.wav,1.736,,5.365,-0.692,0.779,2.808,,3.43,2.889,3.422,3.598,3.692,3.441,3.084,3.524,3.162,2.646,0.0
p232_142.wav,2.714,,1.757,-3.004,0.845,1.996,2.57,2.96,3.043,3.609,3.513,3.179,2.927,3.922,3.721,2.438,2.048,0.091
p232_143.wav,1.774,,16.504,5.083,0.884,3.178,,3.422,2.911,3.455,3.61,3.319,3.458,3.489,3.854,3.421,2.984,0.0
p232_144.wav,2.28,,12.412,5.194,0.92,2.583,3.57,3.606,2.884,3.382,3.615,3.859,3.401,3.621,3.789,3.7,3.421,0.0
p232_145.wav,2.65,,6.946,0.771,0.75,1.952,2.95,2.939,2.848,3.518,3.323,3.529,3.448,3.492,3.445,2.888,2.609,0.0
p232_146.wav,2.041,,1.061,-6.852,0.78,2.247,,2.975,2.796,3.543,3.14,2.75,3.55,3.879,4.084,3.119,2.19,0.0
p232_147.wav,2.725,,16.496,10.949,0.973,3.763,4.7,3.976,3.196,3.49,4.019,4.441,4.278,3.332,4.42,3.988,3.281,0.0
p232_148.wav,3.873,,11.834,5.868,0.995,3.139,4.11,3.586,3.252,3.589,3.974,3.647,4.154,4.12,4.273,3.839,3.322,0.091
p232_150.wav,2.105,,5.902,-2.65,0.939,2.983,,3.472,3.219,3.603,3.944,3.955,3.896,3.987,4.097,3.322,3.075,0.0
p232_151.wav,2.727,,1.452,-7.312,0.934,1.702,1.94,3.17,2.894,3.597,3.37,3.275,3.849,3.886,3.685,3.012,2.587,0.0
p232_152.wav,1.866,,17.098,5.962,0.907,2.36,,3.542,2.875,3.309,3.652,3.93,4.403,4.252,4.437,3.442,2.962,0.0
p232_153.wav,1.932,,11.816,0.891,0.824,2.062,,3.223,2.838,3.551,3.235,3.524,3.888,3.197,3.288,3.391,2.934,0.0
p232_154.wav,2.341,,8.592,-0.778,0.766,1.503,2.38,3.246,2.692,3.447,3.045,3.51,2.898,3.594,4.708,2.944,1.971,0.667
p232_155.wav,2.551,,3.36,-3.973,0.576,1.235,2.17,2.903,2.706,3.624,2.881,3.525,2.985,3.513,3.539,2.635,2.064,0.167
p232_156.wav,2.057,,17.051,8.527,0.882,2.72,,3.645,2.898,3.459,3.47,4.02,3.924,4.099,4.057,3.195,2.939,0.0
p232_158.wav,2.682,,12.69,5.182,0.898,1.866,2.67,3.275,3.088,3.57,3.724,3.469,3.925,3.39,3.77,2.687,2.401,0.4
p232_159.wav,1.876,,7.471,-2.427,0.922,1.792,,3.111,2.993,3.342,3.894,3.89,3.788,3.977,4.684,3.108,2.731,0.0
p232_160.wav,3.942,,4.133,-2.416,0.72,1.173,1.85,3.176,2.247,3.46,2.271,2.997,3.951,3.835,3.651,2.449,1.993,0.3
p232_161.wav,2.722,,16.431,9.548,0.961,3.417,3.71,3.711,3.115,3.572,3.694,4.224,4.085,3.663,4.503,4.152,3.659,0.0
p232_162.wav,1.596,,10.175,-0.784,0.888,1.559,,3.951,2.989,3.405,3.793,4.006,4.076,3.277,4.347,3.519,3.238,0.5
p232_163.wav,2.163,,5.976,-2.24,0.918,2.898,,3.386,3.13,3.566,3.833,3.962,2.987,3.452,3.842,3.561,3.215,0.0
p232_164.wav,2.469,,1.324,-5.898,0.794,1.925,2.7,3.01,2.735,3.412,3.194,2.881,2.889,3.399,3.439,2.612,2.038,0.125
p232_165.wav,1.749,,19.012,8.686,0.925,2.713,,3.189,2.894,3.236,3.854,4.376,3.534,4.036,4.158,3.387,3.01,0.0
p232_167.wav,2.683,,11.384,5.526,0.986,2.953,3.93,3.991,3.035,3.546,3.583,4.379,3.76,4.097,4.21,3.837,3.412,0.0
p232_169.wav,3.388,,6.961,1.922,0.952,2.188,3.44,3.649,2.978,3.637,3.362,3.866,4.133,3.549,4.248,3.403,3.146,0.077
p232_170.wav,2.093,,0.904,-6.73,0.636,1.5,,3.03,2.713,3.55,2.943,3.29,3.495,3.374,3.77,2.568,2.402,0.0
p232_171.wav,2.014,,22.424,12.273,0.924,2.616,,3.706,3.333,3.613,4.064,4.027,4.09,4.193,4.652,4.229,3.757,0.0
p232_172.wav,2.02,,10.867,2.958,0.951,3.809,,3.573,2.935,3.366,3.741,4.519,4.24,3.348,4.123,3.774,3.061,0.0
p232_173.wav,2.145,,6.126,-5.319,0.865,2.583,,3.494,2.884,3.347,3.726,3.875,3.922,4.111,4.326,3.179,2.688,0.0
p232_174.wav,2.155,,1.242,-9.772,0.791,1.956,,3.279,2.534,3.405,2.859,3.442,3.197,3.554,4.295,2.875,2.357,0.0
p232_175.wav,3.126,,16.72,10.02,0.969,2.634,3.57,3.783,3.296,3.636,3.98,3.873,3.92,3.932,4.771,3.54,3.209,0.0
p232_176.wav,2.77,,13.333,3.688,0.868,1.898,2.6,3.148,3.101,3.678,3.497,4.026,3.994,3.708,4.371,3.47,2.856,0.0
p232_177.wav,2.22,,9.028,-3.534,0.663,1.657,2.23,2.822,2.785,3.444,3.18,3.685,3.674,3.438,4.028,3.05,2.556,0.6
p232_178.wav,2.009,,1.95,-4.68,0.677,1.716,,3.569,2.797,3.375,3.468,3.645,3.648,4.207,3.818,3.225,2.479,0.286
p232_179.wav,3.441,,17.415,8.764,0.956,2.518,3.27,3.679,3.134,3.462,3.926,3.693,3.636,4.373,4.342,3.663,3.259,0.1
p232_180.wav,3.25,,13.132,4.657,0.943,2.65,3.66,3.591,2.966,3.633,3.353,3.868,3.683,4.037,4.439,3.195,3.039,0.0
p232_181.wav,1.824,,7.659,-2.437,0.875,2.063,,3.365,3.167,3.53,3.885,3.266,3.886,3.402,3.953,2.982,2.857,0.0
p232_182.wav,2.512,,2.569,-7.439,0.78,1.451,2.5,3.127,2.614,3.53,2.813,3.612,2.861,3.569,3.64,2.315,1.757,0.083
p232_183.wav,2.154,,14.946,3.783,0.903,2.973,,3.47,3.015,3.346,3.904,4.112,4.178,3.834,4.322,3.944,3.686,0.0
p232_184.wav,2.134,,10.935,4.042,0.914,2.65,,3.426,3.072,3.568,3.698,4.274,4.356,3.788,4.508,3.285,2.873,0.286
p232_185.wav,2.856,,6.327,-0.004,0.954,2.401,3.32,3.894,2.939,3.56,3.423,2.752,3.441,3.573,4.465,2.619,2.454,0.0
p232_186.wav,1.913,,0.638,-11.444,0.759,1.747,,3.211,2.868,3.488,3.374,3.691,3.54,3.534,3.938,3.392,2.886,0.0
p232_187.wav,1.375,,17.572,4.227,0.664,2.207,,3.211,2.99,3.365,3.837,3.968,3.36,3.206,4.316,3.097,2.689,0.0
p232_188.wav,3.83,,11.439,3.276,0.855,2.722,3.61,3.49,2.93,3.532,3.482,2.965,3.983,3.902,4.085,2.444,2.222,0.091
p232_189.wav,2.553,,6.798,-1.73,0.818,2.238,3.49,3.447,2.906,3.571,3.312,3.521,3.529,3.125,4.017,2.995,2.341,0.0
p232_190.wav,1.952,,1.264,-7.77,0.862,1.86,,2.943,2.611,3.321,3.144,3.534,3.051,3.433,3.964,2.529,2.078,0.0
p232_191.wav,1.916,,15.693,2.256,0.929,3.133,,3.552,3.168,3.525,3.916,3.79,3.654,4.245,4.333,3.102,2.848,0.0
